id,tokens,slots,intent
train-02934,BOS get saturday fares from washington to boston EOS,O O B-depart_date.day_name O O B-fromloc.city_name O B-toloc.city_name O,atis_airfare
train-02622,BOS what is the cheapest fare one way between pittsburgh and denver EOS,O O O O B-cost_relative O B-round_trip I-round_trip O B-fromloc.city_name O B-toloc.city_name O,atis_airfare
train-03317,BOS flight from denver to philadelphia saturday afternoon EOS,O O O B-fromloc.city_name O B-toloc.city_name B-depart_date.day_name B-depart_time.period_of_day O,atis_flight
train-02647,BOS i'd like to go from boston to pittsburgh to find the cheapest flight EOS,O O O O O O B-fromloc.city_name O B-toloc.city_name O O O B-cost_relative O O,atis_flight
train-00330,BOS what does ewr mean EOS,O O O B-airport_code O O,atis_abbreviation
train-00907,BOS list all united flights from boston to san francisco with fare code qx EOS,O O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-fare_basis_code O,atis_flight
train-00519,BOS i need information on a flight from san francisco to atlanta that would stop in fort worth EOS,O O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name I-stoploc.city_name O,atis_flight
train-00835,BOS what ground transportation is available between pittsburgh airport and downtown pittsburgh EOS,O O O O O O O B-airport_name I-airport_name O O B-city_name O,atis_ground_service
train-02601,BOS i would like to fly the cheapest rate available from pittsburgh to atlanta on wednesday morning EOS,O O O O O O O B-cost_relative O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day O,atis_flight
train-04208,BOS show me all the flights that go from baltimore to seattle EOS,O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O,atis_flight
train-00710,BOS what is the total schedule for delta's flights to all airports EOS,O O O O O B-flight_time O B-airline_name O O O O O,atis_flight_time
train-03478,BOS show me all flights that go from new york to miami on tuesday and go from miami to new york on sunday EOS,O O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name O,atis_flight
train-00995,BOS i need a flight from long beach to st. louis stopping in dallas the flight should also serve lunch EOS,O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-stoploc.city_name O O O O O B-meal_description O,atis_flight
train-00578,BOS give me the flights from chicago to seattle on continental that have meals early saturday morning EOS,O O O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name O O B-meal B-depart_time.period_mod B-depart_date.day_name B-depart_time.period_of_day O,atis_flight
train-02368,BOS list all flights from baltimore to atlanta after 12 noon thursday EOS,O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time B-depart_date.day_name O,atis_flight
train-01233,BOS is there ground transportation from the dallas airport to downtown dallas EOS,O O O O O O O B-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name O,atis_ground_service
train-01503,BOS list flights from salt lake city to phoenix arizona tuesday EOS,O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-toloc.state_name B-depart_date.day_name O,atis_flight
train-02749,BOS can you show me what fares are available from oakland to dallas on december sixteenth one way only EOS,O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number B-round_trip I-round_trip O O,atis_airfare
train-00099,BOS what flights from salt lake city to new york city arrive next saturday before 6 pm EOS,O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name O B-arrive_date.date_relative B-arrive_date.day_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time O,atis_flight
train-02587,BOS how much is the cheapest flight from denver to pittsburgh EOS,O O O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name O,atis_airfare
train-03749,BOS show me all flights from dallas to san francisco EOS,O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O,atis_flight
train-00593,BOS on august thirtieth please schedule me on a flight from denver to san francisco early in the morning EOS,O O B-depart_date.month_name B-depart_date.day_number O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_time.period_mod O O B-depart_time.period_of_day O,atis_flight
train-01226,BOS show me the airlines for flights to or from love field EOS,O O O O O O O O O O B-fromloc.airport_name I-fromloc.airport_name O,atis_airline
train-04265,BOS show me all flights from boston to detroit EOS,O O O O O O B-fromloc.city_name O B-toloc.city_name O,atis_flight
train-01642,BOS what airline is ea EOS,O O O O B-airline_code O,atis_airline
train-02384,BOS show me the latest flight from denver to boston EOS,O O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O,atis_flight
train-00018,BOS what are the air restrictions on flights from pittsburgh to atlanta for the airfare of 416 dollars EOS,O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-fare_amount I-fare_amount O,atis_restriction
train-00124,BOS show me the flights from philadelphia to dallas with one stop EOS,O O O O O O B-fromloc.city_name O B-toloc.city_name O B-flight_stop I-flight_stop O,atis_flight
train-03795,BOS show me all flights from miami to new york EOS,O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O,atis_flight
train-02490,BOS what's the earliest flight leaving denver for pittsburgh EOS,O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O,atis_flight
train-01420,BOS which airlines fly from boston to washington dc but stopover in some other city EOS,O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O O O O O O O,atis_airline
train-01755,BOS which airline can fly me from atlanta to denver to san francisco EOS,O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-toloc.city_name I-toloc.city_name O,atis_airline
train-03061,BOS i need a united airlines flight from denver to baltimore on saturday EOS,O O O O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O,atis_flight
train-02434,BOS could you show me all weekday flights from phoenix to denver EOS,O O O O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O,atis_flight
train-03129,BOS what flights leave from newark to los angeles in the afternoon EOS,O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-depart_time.period_of_day O,atis_flight
train-01079,BOS i would like to travel from washington dc to pittsburgh on august twentieth EOS,O O O O O O O B-fromloc.city_name B-fromloc.state_code O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number O,atis_flight
train-00300,BOS what are the flights and fares from atlanta to philadelphia EOS,O O O O O O O O B-fromloc.city_name O B-toloc.city_name O,atis_flight#atis_airfare
train-02214,BOS ground transportation from airport in boston to downtown boston EOS,O O O O O O B-fromloc.city_name O O B-toloc.city_name O,atis_ground_service
train-01174,BOS what types of aircraft does delta fly EOS,O O O O O O B-airline_name O O,atis_aircraft
train-01851,BOS what are the nonstop flights between houston and memphis EOS,O O O O B-flight_stop O O B-fromloc.city_name O B-toloc.city_name O,atis_flight
train-03642,BOS phoenix to newark on wednesday EOS,O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O,atis_flight
train-03986,BOS i would like to see all flights from baltimore to philadelphia EOS,O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O,atis_flight
train-03973,BOS flights from denver to philadelphia include fares EOS,O O O B-fromloc.city_name O B-toloc.city_name O O O,atis_flight
train-04150,BOS please list flights from orlando to philadelphia EOS,O O O O O B-fromloc.city_name O B-toloc.city_name O,atis_flight
train-03224,BOS what flights are available from san francisco to pittsburgh on thursday evening EOS,O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day O,atis_flight
train-00201,BOS flights from la guardia to jfk EOS,O O O B-fromloc.airport_name I-fromloc.airport_name O B-toloc.airport_code O,atis_flight
train-02733,BOS give me the one way flights from pittsburgh to boston EOS,O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name O,atis_flight
train-00847,BOS ground transportation for las vegas EOS,O O O O B-city_name I-city_name O,atis_ground_service
train-02518,BOS please give me information on a flight on april seventeen from philadelphia to boston as early as possible EOS,O O O O O O O O O B-depart_date.month_name B-depart_date.day_number O B-fromloc.city_name O B-toloc.city_name O B-flight_mod O O O,atis_flight
train-00696,BOS how many us air flights leave from washington EOS,O O O B-airline_name I-airline_name O O O B-fromloc.city_name O,atis_quantity
train-00725,BOS are there any limousines or taxi services available at the boston airport EOS,O O O O B-transport_type B-or B-transport_type O O O O B-airport_name I-airport_name O,atis_ground_service
train-02874,BOS i would like an evening flight from pittsburgh to los angeles on june third EOS,O O O O O B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.month_name B-depart_date.day_number O,atis_flight
train-00903,BOS what is fare code f EOS,O O O O O B-fare_basis_code O,atis_abbreviation
train-01144,BOS show me flight us 1500 on monday from charlotte to minneapolis please EOS,O O O O B-airline_code B-flight_number O B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name O O,atis_flight
train-02544,BOS show me the lowest priced fare from dallas to baltimore EOS,O O O O B-cost_relative O O O B-fromloc.city_name O B-toloc.city_name O,atis_airfare
train-01769,BOS please show me airlines with flights from boston to denver EOS,O O O O O O O O B-fromloc.city_name O B-toloc.city_name O,atis_airline
train-03501,BOS show me all nationair flights from toronto EOS,O O O O B-airline_name O O B-fromloc.city_name O,atis_flight
train-02731,BOS can you show me fares for december sixteenth from oakland to dallas one way only EOS,O O O O O O O B-depart_date.month_name B-depart_date.day_number O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip O O,atis_airfare
train-02318,BOS what flights go from san francisco to boston and leave after 1 o'clock EOS,O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_time.time_relative B-depart_time.time I-depart_time.time O,atis_flight
train-02321,BOS i need a flight from san francisco to boston that leaves after 7 am EOS,O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_time.time_relative B-depart_time.time I-depart_time.time O,atis_flight
train-00095,BOS i need to take ten people from denver to phoenix please give me the flights during the week EOS,O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O O B-flight_mod I-flight_mod I-flight_mod O,atis_flight
train-02205,BOS can you help me with ground transportation information i need to get from the airport in philadelphia to downtown philadelphia EOS,O O O O O O O O O O O O O O O O O B-fromloc.city_name O O B-toloc.city_name O,atis_ground_service
train-00063,BOS all flights from boston to washington dc after 5 pm on november eleventh economy class EOS,O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-depart_date.month_name B-depart_date.day_number B-economy I-economy O,atis_flight
train-03931,BOS dallas to baltimore EOS,O B-fromloc.city_name O B-toloc.city_name O,atis_flight
train-01834,BOS show me return flights from cincinnati to salt lake city nonstop EOS,O O O B-round_trip O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name B-flight_stop O,atis_flight
train-01397,BOS tell me about flights from charlotte to atlanta next tuesday EOS,O O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_date.date_relative B-depart_date.day_name O,atis_flight
train-01145,BOS us 3724 baltimore to philadelphia what is the fare EOS,O B-airline_code B-flight_number B-fromloc.city_name O B-toloc.city_name O O O O O,atis_airfare
train-01636,BOS what airline is hp EOS,O O O O B-airline_code O,atis_airline
train-02294,BOS find travel arrangements for a round trip flight from baltimore to pittsburgh after 8 o'clock pm before 10 o'clock pm EOS,O O O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time I-depart_time.time B-depart_time.time_relative B-depart_time.time I-depart_time.time I-depart_time.time O,atis_flight
train-01039,BOS i'd like to find a nonstop flight from boston to atlanta that leaves sometime in the afternoon and arrives in atlanta before evening EOS,O O O O O O B-flight_stop O O B-fromloc.city_name O B-toloc.city_name O O O O O B-arrive_time.period_of_day O O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time O,atis_flight
train-02183,BOS what united airlines flights go through denver EOS,O O B-airline_name I-airline_name O O O B-stoploc.city_name O,atis_flight
train-00535,BOS what are connecting flights from chicago to seattle on june first EOS,O O O B-connect O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number O,atis_flight
train-04118,BOS flight from cleveland to nashville EOS,O O O B-fromloc.city_name O B-toloc.city_name O,atis_flight
train-00281,BOS what are the departure times from detroit to westchester county EOS,O O O O B-flight_time I-flight_time O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O,atis_flight_time
train-02783,BOS list a round trip fare from kansas city to minneapolis flights EOS,O O O B-round_trip I-round_trip O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O,atis_airfare
train-03121,BOS give me the flights from pittsburgh to los angeles on thursday evening EOS,O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day O,atis_flight
train-01090,BOS list flights from washington dc to toronto EOS,O O O O B-fromloc.city_name B-fromloc.state_code O B-toloc.city_name O,atis_flight
train-03848,BOS show me flights between toronto and san diego EOS,O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O,atis_flight
train-00881,BOS show flights from san francisco to denver on either wednesday the twenty third or thursday the twenty fourth EOS,O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name O B-depart_date.day_number I-depart_date.day_number B-or B-depart_date.day_name O B-depart_date.day_number I-depart_date.day_number O,atis_flight
train-02089,BOS i would like to fly from atlanta to san francisco with a stopover in dallas EOS,O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name O,atis_flight
train-04070,BOS show me the flights from baltimore to pittsburgh EOS,O O O O O O B-fromloc.city_name O B-toloc.city_name O,atis_flight
train-00091,BOS what is the earliest arriving flight between boston and washington dc EOS,O O O O B-flight_mod I-flight_mod O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O,atis_flight
train-02295,BOS what flights go from newark to boston after 5 pm EOS,O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time O,atis_flight
train-02376,BOS please show me flights available from pittsburgh to atlanta on a weekday EOS,O O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-flight_mod O,atis_flight
train-04033,BOS oakland to denver EOS,O B-fromloc.city_name O B-toloc.city_name O,atis_flight
train-01129,BOS show me all the information about the flight from baltimore to dallas which is listed dl 1055 dl 405 EOS,O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O B-airline_code B-flight_number B-airline_code B-flight_number O,atis_flight
train-03591,BOS boston to pittsburgh wednesday EOS,O B-fromloc.city_name O B-toloc.city_name B-depart_date.day_name O,atis_flight
train-00109,BOS what is the ap 57 restriction EOS,O O O O B-restriction_code I-restriction_code O O,atis_abbreviation
train-00662,BOS how many stops on continental 1765 from boston to san francisco EOS,O O O O O B-airline_name B-flight_number O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O,atis_quantity
train-01105,BOS i want to fly from washington dc to phoenix arizona EOS,O O O O O O B-fromloc.city_name B-fromloc.state_code O B-toloc.city_name B-toloc.state_name O,atis_flight
train-00041,BOS list all trans world airline flights from indianapolis to houston that arrive in houston between 1030 am and 1130 am EOS,O O O B-airline_name I-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name O O O B-toloc.city_name O B-arrive_time.start_time I-arrive_time.start_time O B-arrive_time.end_time I-arrive_time.end_time O,atis_flight
train-02480,BOS what is the earliest flight that goes from atlanta to washington on thursday EOS,O O O O B-flight_mod O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O,atis_flight
train-03036,BOS show flights from pittsburgh to oakland on us airlines with fare information EOS,O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name O O O O,atis_flight
train-02741,BOS what is the price of a one way fare from atlanta to boston EOS,O O O O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name O,atis_airfare
train-04063,BOS i would like to see the flights from denver to philadelphia please EOS,O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O,atis_flight
train-04131,BOS flights from phoenix to milwaukee EOS,O O O B-fromloc.city_name O B-toloc.city_name O,atis_flight
train-03160,BOS and a flight from st. louis to burbank that leaves tuesday afternoon EOS,O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name B-depart_time.period_of_day O,atis_flight
train-00360,BOS please show me all airports in denver EOS,O O O O O O O B-city_name O,atis_airport
train-02598,BOS what are the cheapest one way flights from denver to atlanta EOS,O O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name O,atis_flight
train-01228,BOS how can i go from the san francisco airport to downtown san francisco EOS,O O O O O O O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name I-toloc.city_name O,atis_flight
train-04272,BOS what flights are there from phoenix to milwaukee EOS,O O O O O O B-fromloc.city_name O B-toloc.city_name O,atis_flight
train-01132,BOS what is the fare from boston to san francisco on united airlines flight 21 EOS,O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name I-airline_name O B-flight_number O,atis_airfare
train-02065,BOS i'm looking for ground transportation in dallas EOS,O O O O O O O B-city_name O,atis_ground_service
train-04141,BOS what's a flight that goes from baltimore to seattle EOS,O O O O O O O B-fromloc.city_name O B-toloc.city_name O,atis_flight
train-01387,BOS now i'd like to see flights from detroit to st. petersburg on the next tuesday EOS,O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-depart_date.date_relative B-depart_date.day_name O,atis_flight
train-00609,BOS what is the earliest daily flight between oakland and salt lake city EOS,O O O O B-flight_mod B-flight_days O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name O,atis_flight
train-01207,BOS what type of aircraft flies from pittsburgh to baltimore EOS,O O O O O O O B-fromloc.city_name O B-toloc.city_name O,atis_aircraft
train-00197,BOS is there a flight from pittsburgh to baltimore that arrives between 6 and 7 pm EOS,O O O O O O B-fromloc.city_name O B-toloc.city_name O O O B-arrive_time.start_time O B-arrive_time.end_time I-arrive_time.end_time O,atis_flight
train-03421,BOS show me flights between new york city and las vegas on sunday EOS,O O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name O,atis_flight
train-03138,BOS can you give me the evening flight on wednesday from washington to atlanta again EOS,O O O O O O B-depart_time.period_of_day O O B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name O O,atis_flight
train-00941,BOS what is the earliest flight from boston to san francisco that serves a meal EOS,O O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-meal O,atis_flight
train-02674,BOS show me the cheapest round trip fare from baltimore to dallas EOS,O O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name O,atis_airfare
train-01495,BOS flight from dallas to oakland california on monday EOS,O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_name O B-depart_date.day_name O,atis_flight
train-03038,BOS i want to fly united airlines from boston to denver EOS,O O O O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name O,atis_flight
train-03690,BOS show me flights between memphis and las vegas on sunday EOS,O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name O,atis_flight
train-01562,BOS what are the flights from las vegas to burbank also on saturday may twenty two EOS,O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number O,atis_flight
train-04248,BOS what flights go from dallas to phoenix EOS,O O O O O B-fromloc.city_name O B-toloc.city_name O,atis_flight
train-01996,BOS ground transportation baltimore EOS,O O O B-city_name O,atis_ground_service
train-02275,BOS all flights before 10 am boston denver EOS,O O O B-depart_time.time_relative B-depart_time.time I-depart_time.time B-fromloc.city_name B-fromloc.city_name O,atis_flight
train-01735,BOS which airlines fly into and out of denver EOS,O O O O O O O O B-city_name O,atis_airline
train-02705,BOS what flights go from pittsburgh to newark after 823 in the morning EOS,O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time O O B-depart_time.period_of_day O,atis_flight
train-03549,BOS i want a flight on continental from boston to san francisco EOS,O O O O O O B-airline_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O,atis_flight
train-01454,BOS i need a flight from denver to washington dc on wednesday EOS,O O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O B-depart_date.day_name O,atis_flight
train-01652,BOS flights on twa from columbus to st. louis EOS,O O O B-airline_code O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O,atis_flight
train-03898,BOS show me flights from atlanta to washington please EOS,O O O O O B-fromloc.city_name O B-toloc.city_name O O,atis_flight
train-02831,BOS yes i need a flight from denver to pittsburgh on july seventh EOS,O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number O,atis_flight
